id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 218638,"Кофе в капсулах Lebo Latte macchiato для кофемашин Dolce Gusto 16шт, 172г",499,709,NESCAFE,https://online.metro-cc.ru/products/8shth65g8shth15g-kofe-lebo-latte-macchiato-v-kapsulah
 616531,"Напиток кофейный Nescafe Cappuccino порционный растворимый (18г x 20шт), 360г",449,589,ЖОКЕЙ,https://online.metro-cc.ru/products/20shth18g-kofeynyy-nap-nescafe-kapuchino-ports-rastv
 229162,"Кофе Jardin Gold растворимый, 240г",,819,TCHIBO,https://online.metro-cc.ru/products/240g-kofe-jardin-gold-rastvorimyy
 221911,"Кофе Jacobs Day&Night сублимированный без кофеина, 95г",349,399,LEBO,https://online.metro-cc.ru/products/kofe-jacobs-dayampnight-sublimirovannyy-bez-kofeina-95g
 232413,"Кофе Жокей Триумф растворимый сублимированный, 95г",199,281,ЖОКЕЙ,https://online.metro-cc.ru/products/zhokej-triumf-95g
 217498,"Кофе в капсулах Carraro Intenso для кофемашин Nespresso 10шт, 55г",369,439,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-intenso
 224739,"Кофе Черная Карта в зернах, 250г",219,299,MONARCH,https://online.metro-cc.ru/products/250g-kofe-chernaya-karta-zerno
 221904,"Напиток кофейный MacCoffee 3в1 со сгущенным молоком порционный (20г x 10шт), 200г",,141,CARRARO,https://online.metro-cc.ru/products/10shth20g-kofe-maccoffee-3v1-sguschennoe-moloko-portsionnyy
 206309,"Кофе в капсулах Jacobs Lungo 8 Intenso для кофемашин Nespresso 10шт, 52г",,329,ORIGO,https://online.metro-cc.ru/products/10shth52g-kofe-jacobs-lungo-8-intenso-v-kapsulah
 100815,"Кофе в капсулах Lebo Cappuccino для кофемашин Dolce Gusto 16шт, 172г",499,709,JULIUS MEINL,https://online.metro-cc.ru/products/8shth65g8shth15g-kofe-lebo-cappuccino-v-kapsulah
 218712,"Кофе Poetti Leggenda Original в зернах, 250г",,569,POETTI,https://online.metro-cc.ru/products/250g-kofe-poetti-leggenda-original-v-zernah
 226345,"Напиток кофейный Carte Noire Vanilla latte растворимый 20 пакетиков, 320г",,619,LEBO,https://online.metro-cc.ru/products/20shth16g-nap-kofeynyy-carte-noire-vanilla-latte-rastv-ports
 32457,"Кофе Jacobs Velour растворимый, 95г",,319,LAVAZZA,https://online.metro-cc.ru/products/95g-kofe-jacobs-velour-rastvorimyy-poroshkoobraznyy-stb
 230301,"Кофе Bushido Specialty в зернах, 227г",699,769,MONARCH,https://online.metro-cc.ru/products/bushido-specialty-227g-75962
 125674,"Кофе в капсулах Julius Meinl Ristretto Intenso Bio для кофемашин Nespresso 10шт, 56г",,619,LEBO CLASSIC,https://online.metro-cc.ru/products/julius-meinl-ristretto-kapuchino-v-biorazlive-56g-10
 227972,"Кофе Jardin Americano Crema натуральный жареный молотый, 250г",,449,FRESCO,https://online.metro-cc.ru/products/jardin-almericano-crema-naturalnyj-zharenyj-250g
 636530,"Кофе Monarch Brazilian Selection растворимый, 180г",,829,EGOISTE,https://online.metro-cc.ru/products/kofe-monarch-brazilian-selection-rastvorimyy-180g
 384385,"Кофе в капсулах Julius Meinl Lungo Classico Bio для кофемашин Nespresso 10шт, 56г",,619,JACOBS,https://online.metro-cc.ru/products/julius-meinl-lungo-classico-10-56g
 376496,"Кофе Monarch Gold растворимый, 95г",,459,KIMBO,https://online.metro-cc.ru/products/95g-kofe-monarch-gold-rastvorimyy-st
 544095,"Набор подарочный Monarch Original Кофе+чашка растворимый, 95г",,499,ЖОКЕЙ,https://online.metro-cc.ru/products/95g-pn-kofechashka-monarch-original-rastvorimyy
 228239,"Кофе Tchibo Gold selection растворимый, 150г",,519,JARDIN,https://online.metro-cc.ru/products/150g-kofe-tchibo-gold-selection-rastvorimyy
 230298,"Кофе Jardin Gold растворимый, 190г",499,749,MONARCH,https://online.metro-cc.ru/products/190g-kofe-jardin-gold-rastvorimyy-stb
 228238,"Кофе Egoiste Espresso в зернах, 250г",529,639,JARDIN,https://online.metro-cc.ru/products/egoiste-espresso-250g
