id,Название,Цена со скидкой/Полная цена если скидки нет,Цена без скидки/Пусто если скидки нет,Бренд,Ссылка
 100814,"Кофе Fresco Arabica Doppio молотый в растворимом, 100г",249,297,JULIUS MEINL,https://online.metro-cc.ru/products/fresco-naturalnyj-s-dobavleniem-naturalnogo-zharenogo-molotogo-arabica-doppio-100g
 629014,"Кофе Carraro Primo Mattino в зернах, 1кг",1 669,,KIMBO,https://online.metro-cc.ru/products/v-zernah-carraro-primo-mattino-1-kg
 654819,"Кофе Monarch Original растворимый, 270г",899,1 199,JULIUS MEINL,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g
 528357,"Кофе Dallmayr Crema Prodomo в зернах, 1кг",2 229,,EGOISTE,https://online.metro-cc.ru/products/dallmayr-crema-prodomo-v-zernah-1000-g
 530968,"Кофе Lavazza Espresso Italiano Classico молотый, 250г",649,,RIOBA,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-espresso-250g
 76039,"Кофе Carte Noire Instinct растворимый, 95г",449,519,JACOBS,https://online.metro-cc.ru/products/art_260443
 407889,"RIOBA Кофе Espresso Decaffeeinated в зернах без кофеина, 500г",879,,BUSHIDO,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-espresso-decaffeeinated-500g
 611606,"Кофе Poetti Daily Classic Crema в зернах, 1кг",1 599,,ILLY,https://online.metro-cc.ru/products/1kg-kofe-poetti-daily-classic-crema-v-zernah
 508641,"Кофе Lebo Classic молотый для турки, 200г",219,262,EGOISTE,https://online.metro-cc.ru/products/200g-lebo-classic-dlya-turki
 123862,"Кофе в капсулах Jacobs Espresso №7 Classico для кофемашин Nespresso 10шт, 52г",279,329,KIMBO,https://online.metro-cc.ru/products/jacobs-espresso-7-classico-10sht
 112990,"Кофе Egoiste гранд крю в зернах, 1кг",2 299,,CARRARO,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-grand-kryu-1kg
 599512,"Кофе Jacobs Espresso жареный в зернах, 1кг",1 249,1 489,AMBASSADOR,https://online.metro-cc.ru/products/jacobs-espresso-zernovoj-1kg
 59006,"Напиток кофейный Nescafe Strong 3в1 20 пакетиков, 290г",259,319,EGOISTE,https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-krepkij
 221909,"Кофе Egoiste Very Special растворимый сублимированный, 100г",699,1 099,LEBO,https://online.metro-cc.ru/products/egoiste-sublimirovannyj-very-special-100g
 223118,"Напиток кофейный Jacobs 3в1 Классический 50 пакетиков, 675г",589,779,ABSOLUT,https://online.metro-cc.ru/products/napitok-kofeynyy-jacobs-3v1-klassicheskiy-50x135g
 220013,"RIOBA Кофе в капсулах Forte для кофемашин Nespresso 11шт, 55г",299,,JULIUS MEINL,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-forte-11x5g
 74090,"Кофе Carte Noire Original растворимый сублимированный, 190г",979,1 129,JACOBS,https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-190g
 59004,"Кофе в капсулах Jardin Allonge Smooth&Silky для кофемашин Nespresso 10шт, 50г",279,409,BUSHIDO,https://online.metro-cc.ru/products/10h5g-jardin-allonge
 226523,"Кофе в капсулах Jardin Vivo Mild&Fruity для кофемашин Nespresso 10шт, 50г",279,409,MACCOFFEE,https://online.metro-cc.ru/products/10h5g-jardin-vivo
 528358,"Кофе Bushido Red Katana молотый, 227г",509,,BUSHIDO,https://online.metro-cc.ru/products/art_59004
 581767,"Кофе Lavazza Expert Gusto Pieno в зернах, 1кг",1 829,,CARTE NOIRE,https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-gusto-pieno-v-zernah
 230293,"Кофе Egoiste Velvet молотый, 200г",449,509,MONARCH,https://online.metro-cc.ru/products/egoiste-velvet-200g
 665877,"Кофе в капсулах Absolut Drive Cappuccino with milk для кофемашин Dolce Gusto 16шт, 184г",359,429,AMBASSADOR,https://online.metro-cc.ru/products/8shth6g8shth17g-kofe-absolut-kapuchino-kapsuly-dg
 530967,"Кофе Alta Roma Vero в зернах, 1кг",1 199,1 459,RIOBA,https://online.metro-cc.ru/products/kofe-alta-roma-vero-v-zernakh-1kg
 119136,"RIOBA Кофе в капсулах Intenso для кофемашин Nespresso 11шт, 55г",299,,JARDIN,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-intenso-11x5g
 655858,"Кофе Kimbo Caffe Crema Dolce Medium в зернах, 1кг",2 159,,JACOBS,https://online.metro-cc.ru/products/1kg-kimbo-caffe-crema-dolce-medium
 32458,"Кофе Fresco Liberty в зернах, 900г",1 499,,LAVAZZA,https://online.metro-cc.ru/products/900g-kofe-fresco-liberty-zerno
