id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 530968,Кофе Carte Noire Original в зернах 800 г,,2 199,RIOBA,https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g
 619918,"Кофе Nescafe Gold Barista растворимый сублимированный с добавлением натурального молотого кофе, 400г",999,1 699,NESCAFE,https://online.metro-cc.ru/products/art_619918
 220015,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г",1 379,2 279,JULIUS MEINL,https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g
 77948,"Кофе Jacobs Monarch растворимый (1.8г х 26шт), 47г",,499,JULIUS MEINL,https://online.metro-cc.ru/products/jacobs-monarch-26x18g
 433965,"Кофе Julius Meinl Espresso Gran Aroma в зернах, 1кг",,1 949,NESCAFE,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno
 59006,"Кофе Coferium Gold selection в зернах, 1кг",,1 599,EGOISTE,https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah
 665877,"Кофе Coferium White roast в зернах, 1кг",,1 599,AMBASSADOR,https://online.metro-cc.ru/products/1kg-kofe-coferium-white-roast-v-zernah
 123862,"Кофе Coferium Strong в зернах, 1кг",,1 199,KIMBO,https://online.metro-cc.ru/products/1kg-kofe-coferium-strong-v-zernah
 551849,"Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг",,1 949,NESCAFE,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno
 44332,"Кофе Julius Meinl Espresso Deluxe в зернах, 1кг",,2 499,EGOISTE,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno
 104561,"Кофе Bushido Original растворимый, 100г",659,679,FRESCO,https://online.metro-cc.ru/products/bushido-sublimirovannyj-original-100g
 119135,"Кофе Ambassador Nero Espresso Roast в зернах, 1кг",739,789,JARDIN,https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg
 578056,"Кофе Bushido Red Katana в зернах, 1кг",1 699,2 139,LAVAZZA,https://online.metro-cc.ru/products/bushido-red-1000g
 635596,"Кофе Fresco Blend в зернах, 1кг",1 090,1 269,JARDIN,https://online.metro-cc.ru/products/fresco-blend-1000g
 456926,"RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг",,1 679,DALLMAYR,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg
 365548,"Кофе Monarch Original растворимый, 500г",1 049,1 549,ALTA ROMA,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-500g
 226465,"Кофе Egoiste трюфель крема в зернах, 1кг",1 549,1 639,ALTA ROMA,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg
 530969,"Кофе Ambassador Platinum в зернах, 1кг",1 119,1 489,RIOBA,https://online.metro-cc.ru/products/ambassador-naturalnyj-zharenyj-platinum-1kg
 287770,"Кофе Fresco Arabica Solo в зернах, 1кг",1 090,1 269,RIOBA,https://online.metro-cc.ru/products/fresco-arabica-solo-v-zernah-1000-g
 119138,"Кофе Nescafe Classic Crema растворимый, 95г",179,214,JARDIN,https://online.metro-cc.ru/products/nescafe-classic-crema-95-g
 427833,"Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг",,2 029,LAVAZZA,https://online.metro-cc.ru/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg
 218719,"Кофе Julius Meinl Сaffe Crema Premium Collection в зернах, 1кг",,1 999,POETTI,https://online.metro-cc.ru/products/julius-meinl-krema-premium-1kg
 230305,"RIOBA Кофе в зернах натуральный жареный Silver, 1кг",,1 329,MONARCH,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-silver-1kg
 59004,"Кофе Alta Roma Espresso в зернах, 1кг",999,1 079,BUSHIDO,https://online.metro-cc.ru/products/kofe-alta-roma-espresso-v-zernakh-1kg
 508640,"Кофе Lavazza Crema e Aroma натуральный жареный в зернах, 1кг",,2 519,EGOISTE,https://online.metro-cc.ru/products/lavazza-v-zernah-naturalnyj-zharenyj-crema-e-aroma-1kg
 598959,"Кофе Lavazza Qualita Oro натуральный жареный в зернах, 1кг",,2 539,EGOISTE,https://online.metro-cc.ru/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg
 666412,"Кофе Nescafe Classic растворимый порошкообразный с добавлением натурального жареного молотого кофе, 900г",999,1 859,CARTE NOIRE,https://online.metro-cc.ru/products/900g-nescafe-classic
 230304,"Кофе Julius Meinl Espresso Premium Collection в зернах, 1кг",,2 179,MONARCH,https://online.metro-cc.ru/products/v-zernah-julius-meinl-espresso-premium-kollekciya-1000g
 629014,"Кофе Lavazza Qualita Oro молотый, 250г",,619,KIMBO,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-oro-250g
 654817,"Кофе Ambassador Gold Label в зернах, 1кг",1 290,1 649,JULIUS MEINL,https://online.metro-cc.ru/products/ambassador-gold-label-v-zernah-1000g
 530967,"Кофе Jardin Bravo Бразилия в зернах, 1кг",1 339,2 349,RIOBA,https://online.metro-cc.ru/products/jardin-bravo-braziliya-1kg
 228292,"Кофе Fresco Horeca arabica в зернах, 1кг",1 099,1 749,EGOISTE,https://online.metro-cc.ru/products/1kg-kofe-fresco-horeca-arabica-zerno
 546341,"Кофе Bushido Black Katana в зернах, 1кг",1 899,2 699,AMBASSADOR,https://online.metro-cc.ru/products/kofe-zernovoj-bushido-black-katana-1000g
 528357,"RIOBA Кофе в зернах натуральный жареный 80:20, 1кг",,1 529,EGOISTE,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg
 654818,"Кофе Lavazza Crema e Gusto Classico молотый, 250г",,439,JULIUS MEINL,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-crema-e-gusto-250g
 79862,"RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт, 55г",,299,TASSIMO,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g
 561302,"Кофе Nescafe Gold растворимый, 190г",429,449,JARDIN,https://online.metro-cc.ru/products/nescafe-gold-190g
 226397,"Кофе Alta Roma Intenso в зернах, 1кг",1 249,1 399,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ,https://online.metro-cc.ru/products/kofe-alta-roma-intenso-v-zernakh-1kg
 220013,"Кофе Egoiste Double Espresso, 100г",399,669,JULIUS MEINL,https://online.metro-cc.ru/products/egoiste-double-espresso-100g
 134491,"RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт, 55г",,299,ARO,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g
 530966,"Кофе Egoiste Platinum, 100г",799,829,RIOBA,https://online.metro-cc.ru/products/egoiste-platinum-100-g
 629008,"Кофе Lavazza Caffe Espresso натуральный жареный в зернах, 1кг",,2 599,KIMBO,https://online.metro-cc.ru/products/v-zernah-lavazza-naturalnyj-zharenyj-caffe-espresso-1kg
 654489,"Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах, 1кг",,1 839,ORIGO,https://online.metro-cc.ru/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g
 642122,"Кофе Origo Imperial Wiener Mischung в зернах, 1кг",,2 899,NESCAFE,https://online.metro-cc.ru/products/art_44438
 221909,"Кофе Lavazza Expert Crema-Aroma в зернах, 1кг",,2 359,LEBO,https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-cremaaroma-v-zernah
 230303,"Кофе Julius Meinl Юбилейный классическая коллекция в зернах, 1кг",,1 999,MONARCH,https://online.metro-cc.ru/products/yubilejnyj-julius-meinl-1000g
 74090,"Кофе Julius Meinl Юбилейный в зернах, 250г",,549,JACOBS,https://online.metro-cc.ru/products/julius-meinl-yubilejnyj-250g
 220012,"Кофе Egoiste Noir молотый, 250г",469,569,JULIUS MEINL,https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-250g
