id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 59570,"Кофе Jardin Espresso di Milano натуральный молотый жареный, 250г",459,,ILLY,https://online.metro-cc.ru/products/jardin-naturalnyj-zharenyj-espresso-di-milano-250g
 228239,"Кофе Illy Guatemala arabica selection в зернах, 250г",1 090,1 499,JARDIN,https://online.metro-cc.ru/products/v-zernah-illy-guatemala-zh-b-250-g
 226933,"Кофе в капсулах Julius Meinl Lungo Classico Bio для кофемашин Nespresso 10шт, 56г",619,,CARRARO,https://online.metro-cc.ru/products/julius-meinl-lungo-classico-10-56g
 530964,"Напиток кофейный Carte Noire Vanilla latte растворимый 20 пакетиков, 320г",689,,RIOBA,https://online.metro-cc.ru/products/20shth16g-nap-kofeynyy-carte-noire-vanilla-latte-rastv-ports
 228238,"Кофе Italco Espresso Italiano в зернах, 1кг",1 499,,JARDIN,https://online.metro-cc.ru/products/1kg-kofe-italco-espresso-italiano-v-zernah
 634928,"Кофе Illy средней обжарки молотый, 250г",1 379,1 569,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/illy-srednej-obzharki-250g
 228421,"Кофе Carte Noire Elegant растворимый, 95г",459,509,VERLE,https://online.metro-cc.ru/products/95g-kofe-carte-noire-elegant-rastvorimyy-stb
 226341,"Кофе Jardin Oro в зернах, 1кг",2 239,,LEBO,https://online.metro-cc.ru/products/1kg-kofe-jardin-original-oro-zernovoy
 60434,"Кофе Черная Карта в зернах, 250г",219,299,KIMBO,https://online.metro-cc.ru/products/250g-kofe-chernaya-karta-zerno
 228440,"Кофе Lebo Classic молотый для турки, 100г",119,139,VERLE,https://online.metro-cc.ru/products/100g-lebo-classic-dlya-turki
 59003,"Кофе Jacobs Monarch растворимый сублимированный, 75г",262,,BUSHIDO,https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-75g
 209743,"Кофе Monarch Intense растворимый, 95г",439,,EGOISTE,https://online.metro-cc.ru/products/95g-kofe-monarch-intense-rastvorimyy-st
 228419,"Кофе Lebo Classic в зернах, 1кг",1 249,1 429,VERLE,https://online.metro-cc.ru/products/1kg-kofe-lebo-classic-v-zernah
 624061,"Кофе Monarch Original растворимый, 95г",439,,ЖОКЕЙ,https://online.metro-cc.ru/products/95g-kofe-monarch-original-rastvorimyy-st
 637202,"RIOBA Кофе в капсулах Decaffeinato без кофеина для кофемашин Nespresso 11шт, 55г",299,,L'OR,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-decaffein-11x5g
 598958,"Кофе в капсулах Lebo Espresso Milky для кофемашин Nespresso 40шт, 220г",1 190,,BUSHIDO,https://online.metro-cc.ru/products/40shth55g-kofe-lebo-espresso-milky-banka
 44435,"Кофе Dallmayr Classic молотый, 250г",499,,DALLMAYR,https://online.metro-cc.ru/products/dallmayr-classic-250-g
